Launch,Date,Designation,Notes,Length,,
1,1984-08-30,STS-41-D,First Discovery mission: Judith Resnik became second American woman in Space. Three communications satellites were put into orbit, including LEASAT F2.,"6 days, 00 hours,
56 minutes, 04 seconds",,
2,1984-11-08,STS-51-A,Launched two and rescued two communications satellites including LEASAT F1.,"7 days, 23 hours,
44 minutes, 56 seconds",,
3,1985-01-24,STS-51-C,Launched DOD Magnum ELINT satellite.,"3 days, 01 hours,
33 minutes, 23 seconds-",,
4,1985-04-12,STS-51-D,Launched two communications satellites including LEASAT F3. Carried first incumbent United States member of Congress into space, Senator Jake Garn (R–Utah),"6 days, 23 hours,
55 minutes, 23 seconds",,
5,1985-06-17,STS-51-G,Launched two communications satellites, Sultan Salman al-Saud becomes first Saudi Arabian in space.,"7 days, 01 hours,
38 minutes, 52 seconds",,
6,1985-08-27,STS-51-I,Launched two communications satellites including LEASAT F4. Recovered, repaired, and redeployed LEASAT F3.,"7 days, 02 hours,
17 minutes, 42 seconds",,
7,1988-09-29,STS-26,Return to flight after Space Shuttle Challenger disaster, launched TDRS-3.,"4 days, 01 hours,
00 minutes, 11 seconds",,
8,1989-03-13,STS-29,Launched TDRS-4.,"4 days, 23 hours,
38 minutes, 52 seconds",,
9,1989-11-22,STS-33,Launched DOD Magnum ELINT satellite.,"5 days, 00 hours,
06 minutes, 49 seconds",,
10,1990-04-24,STS-31,Launch of Hubble Space Telescope (HST).,"5 days, 01 hours,
16 minutes, 06 seconds",,
11,1990-10-06,STS-41,Launch of Ulysses.,"4 days, 02 hours,
10 minutes, 04 seconds",,
12,1991-04-28,STS-39,Launched DOD Air Force Program-675 (AFP-675) satellite.,"8 days, 07 hours,
22 minutes, 23 seconds",,
13,1991-09-12,STS-48,Upper Atmosphere Research Satellite (UARS).,"5 days, 08 hours,
27 minutes, 38 seconds",,
14,1992-01-22,STS-42,International Microgravity Laboratory-1 (IML-1).,"8 days, 01 hours,
14 minutes, 44 seconds",,
15,1992-12-02,STS-53,Department of Defense payload.,"7 days, 07 hours,
19 minutes, 47 seconds",,
16,1993-04-08,STS-56,Atmospheric Laboratory (ATLAS-2).,"9 days, 06 hours,
08 minutes, 24 seconds",,
17,1993-09-12,STS-51,Advanced Communications Technology Satellite (ACTS).,"9 days, 20 hours,
11 minutes, 11 seconds",,
18,1994-02-03,STS-60,"First Shuttle-Mir mission, Wake Shield Facility (WSF). First Russian launched in an American spacecraft (Sergei Krikalev).","8 days, 07 hours,
09 minutes, 22 seconds",,
19,1994-09-09,STS-64,LIDAR In-Space Technology Experiment (LITE).,"10 days, 22 hours,
49 minutes, 57 seconds",,
20,1995-02-03,STS-63,Rendezvous with Mir space station. First female shuttle pilot Eileen Collins.[12],"8 days, 06 hours,
29 minutes, 36 seconds",,
21,1995-07-13,STS-70,Launched TDRS-7.,"8 days, 22 hours,
20 minutes, 05 seconds",,
22,1997-02-11,STS-82,Servicing Hubble Space Telescope (HST) (HSM-2).,"9 days, 23 hours,
38 minutes, 09 seconds",,
23,1997-08-07,STS-85,Cryogenic Infrared Spectrometers and Telescopes (CRISTA).,"11 days, 20 hours,
28 minutes, 07 seconds",,
24,1998-06-02,STS-91,Final Shuttle/Mir Docking Mission.,"9 days, 19 hours,
55 minutes, 01 seconds",,
25,1998-10-29,STS-95,SPACEHAB, second flight of John Glenn, who was 77 years of age at that time, the oldest man in space and third incumbent member of Congress to enter space. Pedro Duque became the first Spaniard in space.,"8 days, 21 hours,
44 minutes, 56 seconds",,
26,1999-05-27,STS-96,First Space Shuttle mission to dock with the International Space Station[12],"9 days, 19 hours,
13 minutes, 57 seconds",,
27,1999-12-19,STS-103,Servicing Hubble Space Telescope (HST) (HSM-3A).,"7 days, 23 hours,
11 minutes, 34 seconds",,
28,2000-10-11,STS-92,"International Space Station Assembly Flight (carried and assembled the Z1 truss), 100th Shuttle mission.","12 days, 21 hours,
43 minutes, 47 seconds",,
29,2001-03-08,STS-102,International Space Station crew rotation flight (Expedition 1 and Expedition 2),"12 days, 19 hours,
51 minutes, 57 seconds",,
30,2001-08-10,STS-105,International Space Station crew and supplies delivery (Expedition 2 and Expedition 3),"11 days 21 hours,
13 minutes, 52 seconds",,
31,2005-07-26,STS-114,"First ""Return To Flight"" mission since Space Shuttle Columbia disaster, International Space Station (ISS) supplies delivery, new safety procedures testing and evaluation, Multi-Purpose Logistics Module (MPLM) Raffaello.","13 days, 21 hours,
33 minutes, 00 seconds",,
32,2006-07-04,STS-121,"Second ""Return To Flight"" mission since the Space Shuttle Columbia disaster, International Space Station (ISS) supplies delivery, test new safety and repair techniques.","12 days, 18 hours,
37 minutes, 54 seconds",,
